Select your 3 favorite characters!
"Terezi Pyrope, Nepeta Leijon, Aradia Megido"
"Karkat Vantas, Dirk Strider, Alpha Dave Strider"
"John Egbert, Karkat Vantas, Doc Scratch"
"Jade Harley, Nepeta Leijon, Vriska Serket"
"Aradia Megido, Jade Harley, Meenah Peixes"
"Jade Harley, Aradia Megido, Caliborn"
"Doc Scratch, Terezi Pyrope, Vriska Serket"
"Sollux Captor, Dave Strider, The Psiioniic"
"John Egbert, Terezi Pyrope, Nepeta Leijon"
"Kanaya Maryam, Dave Strider, Jade Harley"
"Rose Lalonde, WV (sigh... ""The Mayor""), Kanaya Maryam"
"Dave Strider, Vriska Serket, Cronus Ampora"
"Karkat Vantas, Dave Strider, Caliborn"
"Dave Strider, Nepeta Leijon, Karkat Vantas"
"Dirk Strider, Dave Strider, Roxy Lalonde"
"Eridan Ampora, Sollux Captor, Karkat Vantas"
"Jade Harley, Terezi Pyrope, Kanaya Maryam"
"Equius Zahhak, Rose Lalonde, Lil Hal"
"Jade Harley, Terezi Pyrope, Roxy Lalonde"
"Sollux Captor, Terezi Pyrope, Karkat Vantas"
"Vriska Serket, Dave Strider, Doc Scratch"
"Dave Strider, Vriska Serket, Dirk Strider"
"John Egbert, Vriska Serket, Doc Scratch"
"Vriska Serket, Kanaya Maryam, Nepeta Leijon"
"John Egbert, WV (sigh... ""The Mayor""), Cronus Ampora"
"Terezi Pyrope, Dave Strider, Aradia Megido"
"Dave Strider, Roxy Lalonde, Davesprite"
"Eridan Ampora, Terezi Pyrope, Aradia Megido"
"Roxy Lalonde, Terezi Pyrope, Dave Strider"
"Terezi Pyrope, Dave Strider, Dirk Strider"
"Jade Harley, Terezi Pyrope, Davepeta"
"Rose Lalonde, Vriska Serket, Terezi Pyrope"
"Gamzee Makara, Jake English, Dirk Strider"
"Jade Harley, Roxy Lalonde, Nepeta Leijon"
"Sollux Captor, Dave Strider, Terezi Pyrope"
"Aradia Megido, Sollux Captor, Vriska Serket"
"Dirk Strider, Dave Strider, Karkat Vantas"
"Mituna Captor, Roxy Lalonde, Porrim Maryam"
"Karkat Vantas, Kanaya Maryam, Terezi Pyrope"
"Terezi Pyrope, Sollux Captor, Feferi Peixes"
""
"John Egbert, Gamzee Makara, Tavros Nitram"
"Jade Harley, Roxy Lalonde, Jadesprite"
"Davepeta, Rose Lalonde, Nepeta Leijon"
"Karkat Vantas, Calliope, Porrim Maryam"
"Vriska Serket, Eridan Ampora, Cronus Ampora"
"Tavros Nitram, WV (sigh... ""The Mayor""), John Egbert"
"Karkat Vantas, Feferi Peixes, Calliope"
"Dave Strider, Roxy Lalonde, Terezi Pyrope"
"Aradia Megido, Sollux Captor, Dave Strider"
"Aradia Megido, Dirk Strider, Sollux Captor"
"Kankri Vantas, Nepeta Leijon, Vriska Serket"
"Karkat Vantas, Dave Strider, Nepeta Leijon"
"Aradia Megido, The Handmaid, Damara Megido"
"Rose Lalonde, Gamzee Makara, Kanaya Maryam"
"Nepeta Leijon, Dave Strider, Roxy Lalonde"
"Terezi Pyrope, Vriska Serket, Jane Crocker"
"Dirk Strider, Sollux Captor, John Egbert"
"Eridan Ampora, Karkat Vantas, Sollux Captor"
"Karkat Vantas, WV (sigh... ""The Mayor""), Nepeta Leijon"
"Terezi Pyrope, WV (sigh... ""The Mayor""), Kanaya Maryam"
"Jake English, Tavros Nitram, Doc Scratch"
"Eridan Ampora, Dirk Strider, Kankri Vantas"
"Terezi Pyrope, Tavros Nitram, Calliope"
"Sollux Captor, Davesprite, WV (sigh... ""The Mayor"")"
"Feferi Peixes, Aranea Serket, Roxy Lalonde"
"Nepeta Leijon, John Egbert, Rose Lalonde"
"Equius Zahhak, Jade Harley, Nepeta Leijon"
