Select your 3 least favorite characters!
"Rufioh Nitram, Damara Megido, Mituna Captor"
"Karkat Vantas, Gamzee Makara, The Handmaid"
"Gamzee Makara, Equius Zahhak, Bro Strider"
"Gamzee Makara, Caliborn, Lord English"
"Cronus Ampora, John Egbert, Sollux Captor"
""
"Gamzee Makara, Eridan Ampora, Bro Strider"
"Calliope, Caliborn, hella jeff"
"Feferi Peixes, Doc Scratch, Aradia Megido"
"Vriska Serket, Horuss Zahhak, Kankri Vantas"
"Aradia Megido, Meenah Peixes, Aranea Serket"
"Eridan Ampora, Equius Zahhak, Caliborn"
"Gamzee Makara, Cronus Ampora, Rufioh Nitram"
"Eridan Ampora, Aranea Serket, Rufioh Nitram"
"Gamzee Makara, Sollux Captor, Cronus Ampora"
"Kankri Vantas, Damara Megido, Eridan Ampora"
"Sollux Captor, Karkat Vantas, Tavros Nitram"
""
"Porrim Maryam, The Handmaid, Dad Egbert"
"Cronus Ampora, Damara Megido, Vriska Serket"
"Caliborn, Damara Megido, Tavros Nitram"
"Tavros Nitram, Equius Zahhak, Jake English"
"Gamzee Makara, Doc Scratch, Caliborn"
""
"Vriska Serket, Jade Harley, Eridan Ampora"
"Kankri Vantas, Cronus Ampora, ARquius"
"Eridan Ampora, Cronus Ampora, Kankri Vantas"
"Cronus Ampora, Tavros Nitram, Rufioh Nitram"
"Gamzee Makara, Cronus Ampora, Horuss Zahhak"
"AR, Caliborn, Kankri Vantas"
"Eridan Ampora, Cronus Ampora, Damara Megido"
"Equius Zahhak, Eridan Ampora, Gamzee Makara"
"Equius Zahhak, ARquius, Gamzee Makara"
"Gamzee Makara, Davepeta, Lil Hal"
"Equius Zahhak, ARquius, Cronus Ampora"
"Cronus Ampora, Jasprose, Fefetasprite"
"Equius Zahhak, Vriska Serket, Gamzee Makara"
"Gamzee Makara, Bro Strider, Cronus Ampora"
"Caliborn, Rufioh Nitram, Horuss Zahhak"
"Rufioh Nitram, Doc Scratch, Porrim Maryam"
"Caliborn, Damara Megido, Vriska Serket"
""
"Dirk Strider, Lil Hal, Bro Strider"
"Cronus Ampora, Gamzee Makara, Jane Crocker"
"Eridan Ampora, Equius Zahhak, Jane Crocker"
"Cronus Ampora, AR, HB"
"Jasprose, Cronus Ampora, ARquius"
"Caliborn, Eridan Ampora, Gamzee Makara"
"Cronus Ampora, Jane Crocker, Lord English"
"Gamzee Makara, Equius Zahhak, Caliborn"
"Lord English, Doc Scratch, Jack Noir (B1)"
"John Egbert, Rose Lalonde, Kanaya Maryam"
"Davepeta, Jasprose, ARquius"
"Eridan Ampora, Doc Scratch, Caliborn"
"Horuss Zahhak, Lil Hal, Bro Strider"
"Gamzee Makara, Jake English, ARquius"
"Cronus Ampora, Davepeta, Gamzee Makara"
"Bro Strider, Meenah Peixes, Aranea Serket"
"Damara Megido, Kankri Vantas, Mituna Captor"
"Sollux Captor, Mituna Captor, Lil Hal"
"Jade Harley, Vriska Serket, Dave Strider"
"Vriska Serket, Jane Crocker, Horuss Zahhak"
"Bro Strider, ARquius, Cronus Ampora"
"Vriska Serket, Kankri Vantas, Doc Scratch"
"Gamzee Makara, Damara Megido, Horuss Zahhak"
"Caliborn, Cronus Ampora, Eridan Ampora"
""
"Equius Zahhak, Horuss Zahhak, Jane Crocker"
"Mituna Captor, Horuss Zahhak, Cronus Ampora"
"Equius Zahhak, Eridan Ampora, Gamzee Makara"
"Cronus Ampora, Jane Crocker, Damara Megido"
"Nepeta Leijon, Feferi Peixes, Tavros Nitram"
""
"Vriska Serket, Eridan Ampora, Calliope"
"Feferi Peixes, Equius Zahhak, Doc Scratch"
"Rufioh Nitram, Eridan Ampora, Vriska Serket"
"Equius Zahhak, Bro Strider, Doc Scratch"
"Cronus Ampora, Horuss Zahhak, Kurloz Makara"
"Equius Zahhak, Vriska Serket, Caliborn"
"Kankri Vantas, Karkat Vantas, Bro Strider"
"Aranea Serket, Doc Scratch, Jane Crocker"
"Damara Megido, Horuss Zahhak, Rufioh Nitram"
"John Egbert, Jake English, Cronus Ampora"
"Damara Megido, Cronus Ampora, Kurloz Makara"
"Cronus Ampora, Jasprose, Feferi Peixes"
"Dirk Strider, Jake English, ARquius"
"Jane Crocker, Jake English, Davepeta"
"Rufioh Nitram, Horuss Zahhak, Eridan Ampora"
"Grandpa Harley, Doc Scratch, Jake English"
"Cronus Ampora, Damara Megido, Horuss Zahhak"
"Vriska Serket, Aranea Serket, Meenah Peixes"
"Cronus Ampora, Doc Scratch, Orphaner Dualscar"
"Eridan Ampora, Cronus Ampora, Kurloz Makara"
"Cronus Ampora, Vriska Serket, Meenah Peixes"
"Gamzee Makara, Eridan Ampora, Jake English"
"Eridan Ampora, Cronus Ampora, Bro Strider"
"Damara Megido, Mituna Captor, Cronus Ampora"
"Vriska Serket, Cronus Ampora, Other"
"Harry Anderson Egbert, Rufioh Nitram, Kankri Vantas"
"Kankri Vantas, Mituna Captor, Gamzee Makara"
"Equius Zahhak, Aranea Serket, ARquius"
"Karkat Vantas, Gamzee Makara, Kankri Vantas"
""
"Doc Scratch, Meenah Peixes, Horuss Zahhak"
""
"Meenah Peixes, Cronus Ampora, Davepeta"
"Vriska Serket, Becquerel, Feferi Peixes"
"Damara Megido, Equius Zahhak, Doc Scratch"
"Eridan Ampora, Jane Crocker, Dirk Strider"
"Aranea Serket, Meenah Peixes, Davesprite"
"Equius Zahhak, Kankri Vantas, Eridan Ampora"
"Grandpa Harley, Lil Hal, The Handmaid"
"Bro Strider, Jane Crocker, Caliborn"
"Bro Strider, Lord English, ARquius"
"Caliborn, Equius Zahhak, Eridan Ampora"
"Lord English, Damara Megido, ARquius"
"Mituna Captor, Horuss Zahhak, Damara Megido"
"Kankri Vantas, Cronus Ampora, Rufioh Nitram"
"Horuss Zahhak, Lil Hal, Damara Megido"
"Gamzee Makara, Vriska Serket, Calliope"
"Caliborn, Kankri Vantas, Rufioh Nitram"
""
"Gamzee Makara, Eridan Ampora, Horuss Zahhak"
"Gamzee Makara, Doc Scratch, Cronus Ampora"
""
"Gamzee Makara, Doc Scratch, Cronus Ampora"
"Lord English, Caliborn, Damara Megido"
"Vriska Serket, Tavros Nitram, Dirk Strider"
"Gamzee Makara, Meenah Peixes, Cronus Ampora"
"Eridan Ampora, Mituna Captor, Jane Crocker"
"Jade Harley, Gamzee Makara, Eridan Ampora"
"Cronus Ampora, ARquius, Lil Hal"
"Rufioh Nitram, Davepeta, Cronus Ampora"
"Dirk Strider, Gamzee Makara, Eridan Ampora"
"Vriska Serket, Eridan Ampora, Jack Noir (B1)"
"Jane Crocker, The Handmaid, Horuss Zahhak"
"Vriska Serket, Bro Strider, Cronus Ampora"
"Rufioh Nitram, Doc Scratch, Grandpa Harley"
"Vriska Serket, Jane Crocker, Calliope"
"Davepeta, Damara Megido, Kankri Vantas"
"Lil Hal, Vriska Serket, Jade Harley"
"Vriska Serket, Doc Scratch, Eridan Ampora"
"Kurloz Makara, Mituna Captor, Cronus Ampora"
"Tavros Nitram, Jake English, Gamzee Makara"
"Jake English, Caliborn, Davepeta"
"Feferi Peixes, Vriska Serket, Bro Strider"
""
"Eridan Ampora, Caliborn, The Condesce"
"Sollux Captor, Calliope, Gamzee Makara"
"Gamzee Makara, Caliborn, CD"
"Equius Zahhak, The Handmaid, Sollux Captor"
"Kankri Vantas, Equius Zahhak, Bro Strider"
"Cronus Ampora, Eridan Ampora, Horuss Zahhak"
"Gamzee Makara, Vriska Serket, Meenah Peixes"
