What's your favorite ship?
"Dave Strider, Karkat Vantas"
"Bro Strider, Dad Egbert"
"John Egbert, Jasprosesprite^2"
"John Egbert, Terezi Pyrope"
"Rose Lalonde, Jade Harley, Kanaya Maryam"
"Eridan Ampora, Karkat Vantas"
"Jasprose, Nepeta Leijon"
"Rose Lalonde, Kanaya Maryam"
"Nepeta Leijon, Jade Harley"
"Rose Lalonde, Kanaya Maryam"
"Jade Harley, Nepeta Leijon"
"Terezi Pyrope, Vriska Serket"
"Karkat Vantas, Jade Harley, Dave Strider"
"Latula Pyrope, Mituna Captor"
"Kanaya Maryam, Rose Lalonde"
"Aranea Serket, Aradia Megido"
"Aranea Serket, Rose Lalonde"
"The Mindfang / The Signless [sorry about the tags, it wouldn't let me submit otherwise], PM"
"Roxy Lalonde, Eridan Ampora"
"Kanaya Maryam, Rose Lalonde"
"Aradia Megido, Sollux Captor"
"Caliborn, Dirk Strider"
"Dave Strider, Jade Harley"
"John Egbert, Karkat Vantas"
""
"Karkat Vantas, Dave Strider"
""
"Dave Strider, Karkat Vantas"
"John Egbert, Jade Harley"
"Equius Zahhak, Eridan Ampora"
"John Egbert, Roxy Lalonde"
"John Egbert, Dave Strider"
"Rose Lalonde, Kanaya Maryam"
""
"Dave Strider, Karkat Vantas"
"Dave Strider, Karkat Vantas"
"Aradia Megido, Sollux Captor"
"Vriska Serket, Terezi Pyrope"
"Terezi Pyrope, Nepeta Leijon, Calliope, Roxy Lalonde, Davepeta, Jade Harley, Dave Strider, Karkat Vantas"
"Dave Strider, Karkat Vantas, Gamzee Makara"
"WV (sigh... ""The Mayor""), Lord English"
"Vriska Serket, Terezi Pyrope"
"Dave Strider, Karkat Vantas"
"Gamzee Makara, Tavros Nitram"
"Dave Strider, Karkat Vantas"
"Eridan Ampora, Do you remember that tumblr post where someone spilled purple on their hand and it got a fuck ton of notes cause of the reply “Looks like you fingered an Ampora.” i dont particularly care for the amporas but i love that post. so i guess my ship is Every Ampora Meme x Reader, Cronus Ampora"
"Dave Strider, Sollux Captor, Karkat Vantas"
"Terezi Pyrope, Vriska Serket"
"Davepeta, Jade Harley"
"Terezi Pyrope, Sollux Captor"
"Karkat Vantas, Vriska Serket"
""
"Nepeta Leijon, Equius Zahhak"
"Jade Harley, Nepeta Leijon"
"Karkat Vantas, Nepeta Leijon"
"Karkat Vantas, Jade Harley"
"John Egbert, Dave Strider"
""
"Mituna Captor, Latula Pyrope"
"Dave Strider, Karkat Vantas"
"John Egbert, Dave Strider"
"John Egbert, Rose Lalonde"
"John Egbert, Dave Strider"
"Rose Lalonde, Kanaya Maryam"
"John Egbert, Terezi Pyrope"
"John Egbert, Roxy Lalonde"
""
"John Egbert, Dave Strider"
"Feferi Peixes, Nepeta Leijon"
"Tavros Nitram, Nepeta Leijon"
"Latula Pyrope, Mituna Captor"
"Rose Lalonde, Kanaya Maryam"
"Latula Pyrope, Mituna Captor"
"Vriska Serket, Terezi Pyrope"
""
"Cronus Ampora, Mituna Captor"
"Jake English, Dirk Strider"
"Rose Lalonde, Kanaya Maryam"
"Jade Harley, Nepeta Leijon"
"Caliborn, Jake English"
"Roxy Lalonde, Calliope"
""
"Aradia Megido, Sollux Captor"
"Sollux Captor, Aradia Megido"
"Karkat Vantas, Dave Strider"
"Karkat Vantas, Nepeta Leijon"
"John Egbert, Terezi Pyrope, Roxy Lalonde"
"Dave Strider, Karkat Vantas"
""
"Jade Harley, Nepeta Leijon"
"Aradia Megido, Feferi Peixes"
"John Egbert, Dave Strider"
"Dirk Strider, Lil Hal"
"John Egbert, Vriska Serket"
"Karkat Vantas, Dave Strider"
"Meenah Peixes, Aranea Serket"
"Gamzee Makara, Tavros Nitram"
""
"Gamzee Makara, Equius Zahhak"
"Jade Harley, Karkat Vantas"
"Dave Strider, Karkat Vantas"
"John Egbert, Vriska Serket"
"Dave Strider, Karkat Vantas, Sollux Captor"
"Dave Strider, Karkat Vantas"
"Rose Lalonde, Kanaya Maryam"
"Roxy Lalonde, Jane Crocker"
"Dave Strider, Karkat Vantas"
"John Egbert, Vriska Serket, Terezi Pyrope"
"Equius Zahhak, Nepeta Leijon"
"John Egbert, Dave Strider"
"Jane Crocker, Cronus Ampora"
""
"Dave Strider, Karkat Vantas"
"Rose Lalonde, Kanaya Maryam"
"Rose Lalonde, Kanaya Maryam"
"Nepeta Leijon, Terezi Pyrope"
"Meenah Peixes, Karkat Vantas"
"Equius Zahhak, Nepeta Leijon"
"Dave Strider, Nepeta Leijon"
"Sollux Captor, Nepeta Leijon"
"Dirk Strider, Caliborn"
"Karkat Vantas, Nepeta Leijon"
"Nepeta Leijon, Meulin Leijon"
"Kanaya Maryam, Rose Lalonde"
"Kurloz Makara, Meulin Leijon"
"Karkat Vantas, Terezi Pyrope"
"Dave Strider, Karkat Vantas"
"Eridan Ampora, Feferi Peixes"
"Dad Egbert, Mom Lalonde"
"Caliborn, Dirk Strider"
"Dirk Strider, Jake English"
""
"Dave Strider, Karkat Vantas"
"John Egbert, Karkat Vantas"
"Roxy Lalonde, Jane Crocker"
"Dave Strider, John Egbert, Karkat Vantas"
"John Egbert, Vriska Serket, Terezi Pyrope"
"Rose Lalonde, Kanaya Maryam"
"Rose Lalonde, Kanaya Maryam"
"Rose Lalonde, Kanaya Maryam"
"Gamzee Makara, Tavros Nitram"
"Aradia Megido, Sollux Captor"
"Dave Strider, Karkat Vantas"
"Vriska Serket, Terezi Pyrope"
"SS, DD"
"Jade Harley, Dave Strider"
"Dave Strider, Karkat Vantas"
""
"Karkat Vantas, John Egbert, Dave Strider"
""
"John Egbert, Dave Strider"
"Rose Lalonde, Kanaya Maryam"
"Rose Lalonde, Kanaya Maryam, Latula Pyrope, Mituna Captor, Gamzee Makara, Tavros Nitram"
"John Egbert, Bro Strider"
"Karkat Vantas, Dave Strider"
"Dave Strider, Karkat Vantas"
"Dave Strider, Terezi Pyrope"
"Dirk Strider, Jake English"
"Dave Strider, Jade Harley"
"John Egbert, Roxy Lalonde"
"John Egbert, Vriska Serket"
"John Egbert, Rose Lalonde"
"Dave Strider, Karkat Vantas"
"Rose Lalonde, Kanaya Maryam"
"Jade Harley, Nepeta Leijon"
"Dave Strider, Jade Harley"
"John Egbert, Dave Strider, Karkat Vantas"
"Jack Noir (B1), Ms. Paint"
"Vriska Serket, Kanaya Maryam"
"Gamzee Makara, Tavros Nitram"
"Dave Strider, Karkat Vantas"
"Dave Strider, Karkat Vantas"
"Dave Strider, Jade Harley"
"Dirk Strider, Jake English"
"Meenah Peixes, Vriska Serket"
"Karkat Vantas, Dave Strider"
"Karkat Vantas, Feferi Peixes"
"Latula Pyrope, Mituna Captor"
"Dave Strider, Karkat Vantas"
"John Egbert, Dave Strider"
"Aradia Megido, Sollux Captor"
"Gamzee Makara, Tavros Nitram"
"Karkat Vantas, Dave Strider, Terezi Pyrope"
"Rose Lalonde, Kanaya Maryam"
"John Egbert, Vriska Serket"
"Dave Strider, Jade Harley, Karkat Vantas"
"Karkat Vantas, Terezi Pyrope"
"Rose Lalonde, Kanaya Maryam"
"Rose Lalonde, Kanaya Maryam"
""
""
"John Egbert, Roxy Lalonde"
"Dave Strider, Jade Harley"
"Feferi Peixes, Kanaya Maryam"
""
"John Egbert, Vriska Serket"
""
"Jake English, Dirk Strider"
"John Egbert, Dave Strider"
"Jade Harley, Davepeta"
"Rose Lalonde, Kanaya Maryam"
"Rose Lalonde, Kanaya Maryam"
