Which 3 characters had the best complete arc?
"Jade Harley, Karkat Vantas, Dirk Strider"
""
"Gamzee Makara, John Egbert, Roxy Lalonde"
"Dave Strider, Terezi Pyrope, Jake English"
"John Egbert, Terezi Pyrope, Karkat Vantas"
"Gamzee Makara, John Egbert, Karkat Vantas"
"Dave Strider, Terezi Pyrope, Lord English"
"Terezi Pyrope, Kanaya Maryam, Lil Hal"
"Dave Strider, Terezi Pyrope, WV (sigh... ""The Mayor"")"
"Vriska Serket, Dave Strider, Calliope"
"Terezi Pyrope, John Egbert, Davepeta"
"John Egbert, Kanaya Maryam, Aranea Serket"
"Jade Harley, Aranea Serket, Jake English"
"Vriska Serket, ARquius, Aradia Megido"
"Vriska Serket, Jade Harley, Karkat Vantas"
"Jack Noir (B1), Roxy Lalonde, Vriska Serket"
"John Egbert, Karkat Vantas, Dirk Strider"
"Terezi Pyrope, John Egbert, Dave Strider"
"John Egbert, Rose Lalonde, Terezi Pyrope"
"John Egbert, Terezi Pyrope, Jack Noir (B1)"
"Vriska Serket, Dave Strider, Jane Crocker"
"Dirk Strider, Aradia Megido, Sollux Captor"
"Rose Lalonde, Terezi Pyrope, Aradia Megido"
"John Egbert, Dave Strider, Vriska Serket"
"John Egbert, Vriska Serket, Aradia Megido"
""
""
"Rose Lalonde, Dave Strider, Tavros Nitram"
"Dave Strider, John Egbert, Kanaya Maryam"
""
"John Egbert, Eridan Ampora, Caliborn"
"Dave Strider, Vriska Serket, Caliborn"
""
"AR, WV (sigh... ""The Mayor""), PM"
""
"Dave Strider, Terezi Pyrope, WV (sigh... ""The Mayor"")"
""
""
"Terezi Pyrope, John Egbert, Karkat Vantas"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"Davesprite, Dirk Strider, Dave Strider"
"Aradia Megido, Feferi Peixes, Nepeta Leijon"
"John Egbert, Vriska Serket, Jane Crocker"
"Terezi Pyrope, Eridan Ampora, Kanaya Maryam"
""
"Dave Strider, Terezi Pyrope, Roxy Lalonde"
"Dave Strider, Bro Strider, John Egbert"
"Dave Strider, Vriska Serket, Rose Lalonde"
""
"Terezi Pyrope, Kanaya Maryam, Aradia Megido"
"Vriska Serket, Dave Strider, Karkat Vantas"
"John Egbert, Aranea Serket, Roxy Lalonde"
"Dave Strider, Karkat Vantas, Rose Lalonde"
"Dave Strider, Roxy Lalonde, Calliope"
"John Egbert, Vriska Serket, Caliborn"
"Karkat Vantas, Dave Strider, Rose Lalonde"
"WV (sigh... ""The Mayor""), Lord English, John Egbert"
"John Egbert, Terezi Pyrope, Vriska Serket"
"Jake English, Dave Strider, Karkat Vantas"
"Vriska Serket, Terezi Pyrope, Dave Strider"
"Terezi Pyrope, Dave Strider, Kanaya Maryam"
""
