Which 3 characters had the worst arc?
"Gamzee Makara, Dirk Strider, Aranea Serket"
"Eridan Ampora, Feferi Peixes, Jack Noir (B1)"
"Feferi Peixes, Equius Zahhak, Nepeta Leijon"
"Jane Crocker, The Condesce, Kurloz Makara"
"Gamzee Makara, Jade Harley, Jake English"
"Tavros Nitram, Gamzee Makara, Aradia Megido"
"Gamzee Makara, Bro Strider, Eridan Ampora"
"Nepeta Leijon, Feferi Peixes, Grandpa Harley"
"Nepeta Leijon, Becquerel, Jane Crocker"
"Aranea Serket, Jane Crocker, Eridan Ampora"
""
"Jade Harley, Karkat Vantas, Feferi Peixes"
"Equius Zahhak, Nepeta Leijon, Tavros Nitram"
"Bro Strider, Cronus Ampora, ARquius"
"Equius Zahhak, Eridan Ampora, Feferi Peixes"
"Gamzee Makara, Aradia Megido, Nannasprite"
"Tavros Nitram, Vriska Serket, Mituna Captor"
"Eridan Ampora, Feferi Peixes, Jane Crocker"
"Lord English, Mituna Captor, Gamzee Makara"
"Vriska Serket, Dirk Strider, Gamzee Makara"
"Jade Harley, Vriska Serket, Gamzee Makara"
"Lord English, Aranea Serket, Eridan Ampora"
"Jade Harley, Tavros Nitram, WV (sigh... ""The Mayor"")"
"Vriska Serket, Terezi Pyrope, Rose Lalonde"
"Jake English, Nepeta Leijon, Terezi Pyrope"
"Gamzee Makara, Horuss Zahhak, Davesprite"
"Gamzee Makara, Feferi Peixes, Cronus Ampora"
"Nepeta Leijon, Jade Harley, Feferi Peixes"
"Feferi Peixes, Sollux Captor, Equius Zahhak"
"Gamzee Makara, Jade Harley, WV (sigh... ""The Mayor"")"
""
"Gamzee Makara, Equius Zahhak, Aranea Serket"
"Lil Hal, Horuss Zahhak, Jane Crocker"
"Equius Zahhak, Feferi Peixes, Sollux Captor"
"Gamzee Makara, Nepeta Leijon, Equius Zahhak"
""
"Jane Crocker, Eridan Ampora, Gamzee Makara"
"Gamzee Makara, Jane Crocker, Jasprose"
"Terezi Pyrope, Rose Lalonde, WV (sigh... ""The Mayor"")"
"Gamzee Makara, Equius Zahhak, Nepeta Leijon"
""
