value,count,percentage
,798,10.9
I have ADHD/attention issues,426,5.8
I'm autistic/on the spectrum,374,5.1
"I have ADHD/attention issues, I'm autistic/on the spectrum",248,3.4
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",188,2.6
"I'm autistic/on the spectrum, I have ADHD/attention issues",178,2.4
I'm a furry,119,1.6
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",119,1.6
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",112,1.5
"I'm autistic/on the spectrum, I'm a furry",112,1.5
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",108,1.5
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",104,1.4
"I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",98,1.3
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm a furry",92,1.3
I'm left-handed,89,1.2
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues",73,1.0
"I have ADHD/attention issues, I'm a furry",70,1.0
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",68,0.9
I'm a juggalo,58,0.8
I'm a rationalist,53,0.7
"I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",44,0.6
"I'm a furry, I have ADHD/attention issues",44,0.6
"I'm autistic/on the spectrum, I'm left-handed",37,0.5
"I'm autistic/on the spectrum, I'm a juggalo",34,0.5
"I have ADHD/attention issues, I'm a juggalo",34,0.5
"I'm a furry, I'm autistic/on the spectrum",29,0.4
"I have ADHD/attention issues, I'm left-handed",28,0.4
"I have ADHD/attention issues, I'm autistic/on the spectrum, I'm left-handed",28,0.4
"I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",28,0.4
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I have ADHD/attention issues",28,0.4
"I have ADHD/attention issues, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",27,0.4
"I'm autistic/on the spectrum, I'm traditionally religious and practicing (Christian, Jewish, Muslim, etc.)",26,0.4
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",26,0.4
"I have ADHD/attention issues, I'm a rationalist",26,0.4
"I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm autistic/on the spectrum",25,0.3
"I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",24,0.3
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm a juggalo",24,0.3
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",24,0.3
"I'm part of a System (DID/MPD/etc), I have ADHD/attention issues, I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",23,0.3
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm a rationalist",23,0.3
"I'm autistic/on the spectrum, I'm a furry, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",23,0.3
"I'm autistic/on the spectrum, I'm neurodivergent in another way (PTSD, OCD, BPD, etc), I'm a furry",22,0.3
"I have ADHD/attention issues, I'm non-traditionally religious and practicing (Wiccan, pagan, etc.)",22,0.3
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm left-handed",22,0.3
"I'm autistic/on the spectrum, I have ADHD/attention issues, I'm a furry",22,0.3
I'm a vegan/vegetarian,22,0.3
"I'm part of a System (DID/MPD/etc), I'm autistic/on the spectrum, I'm a furry, I have ADHD/attention issues, I'm neurodivergent in another way (PTSD, OCD, BPD, etc)",21,0.3
