value,count,percentage
,1066,14.6
2013-03-01,44,0.6
2012-03-01,41,0.6
2015-03-01,39,0.5
2016-03-01,38,0.5
2014-01-01,37,0.5
2012-01-01,37,0.5
2016-04-13,35,0.5
2014-03-01,32,0.4
2024-04-13,32,0.4
2020-04-13,32,0.4
2013-04-13,31,0.4
2016-01-01,31,0.4
2009-04-13,28,0.4
2011-01-01,24,0.3
2023-04-13,24,0.3
2011-03-01,24,0.3
2015-01-01,23,0.3
2019-04-13,22,0.3
2023-03-01,21,0.3
2020-01-01,21,0.3
2013-09-01,20,0.3
2013-01-01,20,0.3
2024-01-01,19,0.3
2012-06-01,19,0.3
2020-03-01,19,0.3
2023-01-01,18,0.2
2017-01-01,17,0.2
2011-06-01,17,0.2
2021-04-13,17,0.2
2014-04-13,17,0.2
2024-12-01,16,0.2
2024-05-01,16,0.2
2024-09-01,16,0.2
2024-12-20,15,0.2
2021-01-01,15,0.2
2011-08-01,15,0.2
2018-03-01,15,0.2
2018-01-01,15,0.2
2011-04-13,14,0.2
2014-10-01,14,0.2
2016-03-10,14,0.2
2012-09-01,14,0.2
2024-10-10,14,0.2
2025-01-01,13,0.2
2014-08-01,13,0.2
2023-06-01,13,0.2
2024-06-01,13,0.2
2020-03-20,13,0.2
2011-09-01,13,0.2
2012-08-01,13,0.2
2024-10-01,13,0.2
2024-02-01,13,0.2
2017-08-01,12,0.2
2023-09-01,12,0.2
2012-10-01,12,0.2
2024-08-01,11,0.2
2013-06-01,11,0.2
2015-04-13,11,0.2
2016-06-01,11,0.2
2012-04-13,11,0.2
2017-03-01,11,0.2
2019-03-01,11,0.2
2023-09-14,11,0.2
2024-09-12,11,0.2
2024-09-20,11,0.2
2013-11-01,11,0.2
2023-10-01,11,0.2
2021-03-01,11,0.2
2021-05-01,10,0.1
2022-04-13,10,0.1
2025-01-10,10,0.1
2016-08-01,10,0.1
2012-02-01,10,0.1
2011-11-01,10,0.1
2024-07-01,10,0.1
2012-04-01,10,0.1
2014-03-13,10,0.1
2020-05-01,10,0.1
2010-04-13,10,0.1
2016-10-01,10,0.1
2018-06-14,10,0.1
2015-08-01,10,0.1
2015-06-01,10,0.1
2018-04-13,10,0.1
2024-11-01,10,0.1
2012-11-01,10,0.1
2011-10-01,10,0.1
2023-10-12,10,0.1
2013-08-01,9,0.1
2024-04-01,9,0.1
2016-02-01,9,0.1
2017-04-13,9,0.1
2015-10-01,9,0.1
2015-11-01,9,0.1
2016-04-01,9,0.1
2014-11-01,9,0.1
2020-06-01,9,0.1
2019-06-01,9,0.1
2024-03-01,9,0.1
2022-02-01,9,0.1
2020-02-01,9,0.1
2024-07-10,9,0.1
2023-02-01,9,0.1
2010-03-01,9,0.1
2013-02-01,9,0.1
2015-12-01,9,0.1
2024-07-20,9,0.1
2012-03-15,9,0.1
2024-10-17,8,0.1
2023-08-01,8,0.1
2024-08-08,8,0.1
2024-11-15,8,0.1
2013-10-01,8,0.1
2024-04-10,8,0.1
2010-01-01,8,0.1
2024-06-13,8,0.1
2022-03-01,8,0.1
2024-08-16,8,0.1
2024-11-10,8,0.1
2013-05-01,8,0.1
2022-09-01,8,0.1
2023-02-10,8,0.1
2023-12-22,8,0.1
2016-07-01,8,0.1
2024-04-18,8,0.1
2023-06-16,8,0.1
2014-06-01,8,0.1
2011-10-25,8,0.1
2023-07-13,8,0.1
2012-12-01,8,0.1
2023-11-01,8,0.1
2023-08-17,8,0.1
2024-06-12,8,0.1
2015-03-13,8,0.1
2023-12-01,8,0.1
2014-09-01,7,0.1
2019-02-01,7,0.1
2019-01-01,7,0.1
2022-06-01,7,0.1
2016-03-17,7,0.1
2015-04-01,7,0.1
2019-11-01,7,0.1
2023-01-12,7,0.1
2015-02-01,7,0.1
2013-07-01,7,0.1
2022-07-01,7,0.1
2025-03-01,7,0.1
2024-09-05,7,0.1
2011-11-11,7,0.1
2018-08-01,7,0.1
2024-07-11,7,0.1
2020-06-10,7,0.1
2024-08-10,7,0.1
2017-07-01,7,0.1
2024-10-20,7,0.1
2023-03-10,7,0.1
2023-07-01,7,0.1
2011-05-01,7,0.1
2014-03-20,7,0.1
2022-12-01,7,0.1
2021-02-01,7,0.1
2013-03-13,7,0.1
2023-04-20,7,0.1
2023-06-15,7,0.1
2024-06-14,6,0.1
2023-07-21,6,0.1
2024-07-04,6,0.1
2022-01-01,6,0.1
2013-03-14,6,0.1
2023-03-16,6,0.1
2020-02-13,6,0.1
2014-10-25,6,0.1
2019-06-13,6,0.1
2018-06-01,6,0.1
2016-06-16,6,0.1
2024-04-04,6,0.1
2018-10-01,6,0.1
2023-06-13,6,0.1
2020-03-12,6,0.1
2024-04-20,6,0.1
2020-01-17,6,0.1
2019-04-01,6,0.1
2016-09-15,6,0.1
2022-05-01,6,0.1
2019-12-01,6,0.1
2023-07-20,6,0.1
2020-04-09,6,0.1
2023-11-17,6,0.1
2023-12-15,6,0.1
2024-09-30,6,0.1
2015-09-01,6,0.1
2015-08-15,6,0.1
2011-07-01,6,0.1
2023-12-20,6,0.1
2016-09-01,6,0.1
2013-12-01,6,0.1
2022-09-16,6,0.1
2015-07-01,6,0.1
2023-04-01,6,0.1
2024-11-14,6,0.1
2012-07-01,6,0.1
2009-04-10,6,0.1
2024-07-19,6,0.1
2020-03-13,6,0.1
2017-06-15,6,0.1
2024-04-11,6,0.1
2021-09-01,5,0.1
2021-10-01,5,0.1
2010-03-11,5,0.1
2020-11-01,5,0.1
2017-11-01,5,0.1
2024-12-12,5,0.1
2016-03-18,5,0.1
2024-05-16,5,0.1
2014-03-14,5,0.1
2016-04-06,5,0.1
2025-03-31,5,0.1
2024-10-28,5,0.1
2024-04-17,5,0.1
2024-02-16,5,0.1
2024-07-18,5,0.1
2023-11-16,5,0.1
2014-07-10,5,0.1
2023-10-15,5,0.1
2024-08-15,5,0.1
2024-07-12,5,0.1
2013-04-01,5,0.1
2014-10-15,5,0.1
2024-09-18,5,0.1
2020-04-01,5,0.1
2024-05-10,5,0.1
2019-03-14,5,0.1
2012-03-09,5,0.1
2023-09-08,5,0.1
2024-03-16,5,0.1
2013-03-15,5,0.1
2024-03-09,5,0.1
2022-11-01,5,0.1
2017-09-01,5,0.1
2023-11-15,5,0.1
2024-08-24,5,0.1
2024-12-29,5,0.1
2020-10-01,5,0.1
2023-03-03,5,0.1
2024-06-05,5,0.1
2024-09-13,5,0.1
2024-12-13,5,0.1
2015-03-19,5,0.1
2022-11-10,5,0.1
2024-08-14,5,0.1
2015-05-15,5,0.1
2015-11-12,5,0.1
2024-03-13,5,0.1
2014-03-06,5,0.1
2011-12-01,5,0.1
2024-03-31,5,0.1
2019-05-01,5,0.1
2017-09-14,5,0.1
2015-09-15,5,0.1
2024-03-08,5,0.1
2014-04-01,5,0.1
2018-12-01,5,0.1
2023-04-23,5,0.1
2020-08-01,5,0.1
2023-10-20,5,0.1
2014-05-01,5,0.1
2023-04-03,5,0.1
2024-03-15,5,0.1
2014-02-01,5,0.1
2021-07-09,5,0.1
Other,3593,49.1
