value,count,percentage
,97,1.3
"Dave Strider, Karkat Vantas, Terezi Pyrope",26,0.4
"John Egbert, Dave Strider, Karkat Vantas",22,0.3
"Dave Strider, Karkat Vantas, Dirk Strider",20,0.3
"Dave Strider, Karkat Vantas, Roxy Lalonde",17,0.2
"Dave Strider, Karkat Vantas, WV (sigh... ""The Mayor"")",14,0.2
"John Egbert, Karkat Vantas, Vriska Serket",14,0.2
"Dave Strider, Karkat Vantas, Gamzee Makara",13,0.2
"Dave Strider, Dirk Strider, Karkat Vantas",13,0.2
"John Egbert, Jade Harley, Terezi Pyrope",12,0.2
"Dave Strider, Terezi Pyrope, Karkat Vantas",12,0.2
"Dave Strider, Karkat Vantas, John Egbert",12,0.2
"Karkat Vantas, Dave Strider, Dirk Strider",12,0.2
"Terezi Pyrope, Dave Strider, Karkat Vantas",12,0.2
"Karkat Vantas, Dave Strider, Terezi Pyrope",10,0.1
"John Egbert, Dave Strider, Jade Harley",10,0.1
"Dave Strider, Karkat Vantas, Vriska Serket",10,0.1
"Dave Strider, Vriska Serket, Roxy Lalonde",10,0.1
"Jade Harley, Terezi Pyrope, Roxy Lalonde",9,0.1
"John Egbert, Jade Harley, Karkat Vantas",9,0.1
"Dave Strider, John Egbert, Karkat Vantas",9,0.1
"Dave Strider, Karkat Vantas, Rose Lalonde",9,0.1
"Karkat Vantas, Dave Strider, Roxy Lalonde",9,0.1
"Dave Strider, Karkat Vantas, Kanaya Maryam",8,0.1
"Dave Strider, Jade Harley, Terezi Pyrope",8,0.1
"Terezi Pyrope, Karkat Vantas, Dave Strider",8,0.1
"John Egbert, Karkat Vantas, Dave Strider",8,0.1
"John Egbert, Terezi Pyrope, Vriska Serket",8,0.1
"Terezi Pyrope, Roxy Lalonde, Dave Strider",8,0.1
"John Egbert, Karkat Vantas, Terezi Pyrope",8,0.1
"Jade Harley, Nepeta Leijon, Vriska Serket",8,0.1
"Dave Strider, Dirk Strider, Roxy Lalonde",8,0.1
"Rose Lalonde, Terezi Pyrope, Vriska Serket",8,0.1
"Dave Strider, Dirk Strider, Lil Hal",8,0.1
"Dave Strider, Karkat Vantas, Davesprite",8,0.1
"Dave Strider, Karkat Vantas, Jade Harley",8,0.1
"John Egbert, Jade Harley, Nepeta Leijon",7,0.1
"Karkat Vantas, John Egbert, Dave Strider",7,0.1
"Jade Harley, Roxy Lalonde, Nepeta Leijon",7,0.1
"John Egbert, Vriska Serket, Roxy Lalonde",7,0.1
"Karkat Vantas, Dave Strider, Vriska Serket",7,0.1
"John Egbert, Dave Strider, Dirk Strider",7,0.1
"Karkat Vantas, Terezi Pyrope, Dave Strider",7,0.1
"Rose Lalonde, Dave Strider, Karkat Vantas",7,0.1
"Vriska Serket, Karkat Vantas, Dave Strider",7,0.1
"Jade Harley, Nepeta Leijon, Roxy Lalonde",7,0.1
"Terezi Pyrope, Vriska Serket, Roxy Lalonde",7,0.1
"John Egbert, Dave Strider, Vriska Serket",7,0.1
"Karkat Vantas, Terezi Pyrope, Vriska Serket",7,0.1
"Dave Strider, Sollux Captor, Roxy Lalonde",7,0.1
"Rose Lalonde, Kanaya Maryam, Vriska Serket",7,0.1
"Karkat Vantas, Dave Strider, Kanaya Maryam",7,0.1
"Dave Strider, Vriska Serket, Terezi Pyrope",7,0.1
"John Egbert, Terezi Pyrope, Dirk Strider",7,0.1
"Jade Harley, Vriska Serket, Terezi Pyrope",7,0.1
"Dave Strider, Terezi Pyrope, Dirk Strider",7,0.1
"Vriska Serket, Terezi Pyrope, Karkat Vantas",7,0.1
"Dave Strider, Aradia Megido, Roxy Lalonde",7,0.1
"Jade Harley, Terezi Pyrope, Vriska Serket",7,0.1
"Karkat Vantas, Roxy Lalonde, Dave Strider",7,0.1
"Rose Lalonde, Vriska Serket, Kanaya Maryam",7,0.1
"Dave Strider, Terezi Pyrope, Rose Lalonde",7,0.1
"John Egbert, Terezi Pyrope, Dave Strider",7,0.1
"Dave Strider, Roxy Lalonde, Karkat Vantas",7,0.1
"John Egbert, Terezi Pyrope, Karkat Vantas",7,0.1
"Karkat Vantas, Dave Strider, Nepeta Leijon",7,0.1
"Dave Strider, Karkat Vantas, Nepeta Leijon",7,0.1
"Roxy Lalonde, Dave Strider, Terezi Pyrope",6,0.1
"John Egbert, Dirk Strider, Dave Strider",6,0.1
"Rose Lalonde, Kanaya Maryam, Roxy Lalonde",6,0.1
"Dirk Strider, Karkat Vantas, Dave Strider",6,0.1
"John Egbert, Vriska Serket, Karkat Vantas",6,0.1
"John Egbert, Dave Strider, Rose Lalonde",6,0.1
"Rose Lalonde, Dave Strider, Kanaya Maryam",6,0.1
"Jade Harley, Nepeta Leijon, Dave Strider",6,0.1
"Karkat Vantas, Dave Strider, Tavros Nitram",6,0.1
"Jade Harley, Nepeta Leijon, John Egbert",6,0.1
"Jade Harley, Karkat Vantas, Dave Strider",6,0.1
"Jade Harley, Dave Strider, Karkat Vantas",6,0.1
"Vriska Serket, Terezi Pyrope, Rose Lalonde",6,0.1
"Jade Harley, Feferi Peixes, Nepeta Leijon",6,0.1
"Dave Strider, Nepeta Leijon, Karkat Vantas",6,0.1
"Jade Harley, Dave Strider, Terezi Pyrope",6,0.1
"Jade Harley, Dave Strider, Dirk Strider",6,0.1
"Dave Strider, Dirk Strider, Jake English",6,0.1
"Karkat Vantas, Dave Strider, John Egbert",6,0.1
"John Egbert, Dave Strider, Terezi Pyrope",6,0.1
"Jade Harley, Terezi Pyrope, Nepeta Leijon",6,0.1
"Dave Strider, Roxy Lalonde, Terezi Pyrope",6,0.1
"Terezi Pyrope, Rose Lalonde, Kanaya Maryam",6,0.1
"Jade Harley, Roxy Lalonde, Davepeta",6,0.1
"John Egbert, Dave Strider, Davesprite",6,0.1
"Dirk Strider, Terezi Pyrope, Rose Lalonde",6,0.1
"Gamzee Makara, Karkat Vantas, Nepeta Leijon",6,0.1
"Dave Strider, Davesprite, Karkat Vantas",5,0.1
"Jade Harley, Terezi Pyrope, Karkat Vantas",5,0.1
"Dave Strider, Terezi Pyrope, Jade Harley",5,0.1
"Dave Strider, Kanaya Maryam, Roxy Lalonde",5,0.1
"John Egbert, Rose Lalonde, Dave Strider",5,0.1
"Dave Strider, Sollux Captor, Karkat Vantas",5,0.1
"John Egbert, Dave Strider, Gamzee Makara",5,0.1
"John Egbert, Kanaya Maryam, Roxy Lalonde",5,0.1
"Jade Harley, Rose Lalonde, Kanaya Maryam",5,0.1
"Nepeta Leijon, Jade Harley, Davepeta",5,0.1
"Dave Strider, Jade Harley, Nepeta Leijon",5,0.1
"Jade Harley, Nepeta Leijon, Kanaya Maryam",5,0.1
"Rose Lalonde, Vriska Serket, Terezi Pyrope",5,0.1
"Jade Harley, Aradia Megido, Kanaya Maryam",5,0.1
