value,count,percentage
,451,6.2
"Gamzee Makara, Eridan Ampora, Cronus Ampora",19,0.3
"Gamzee Makara, Eridan Ampora, Equius Zahhak",18,0.2
"Cronus Ampora, Doc Scratch, Bro Strider",16,0.2
"Eridan Ampora, Equius Zahhak, Cronus Ampora",15,0.2
"Eridan Ampora, Cronus Ampora, Bro Strider",14,0.2
"Gamzee Makara, Bro Strider, Cronus Ampora",12,0.2
"Eridan Ampora, Doc Scratch, Cronus Ampora",11,0.2
"Eridan Ampora, Cronus Ampora, Horuss Zahhak",11,0.2
"Vriska Serket, Cronus Ampora, Bro Strider",11,0.2
"Eridan Ampora, Equius Zahhak, Bro Strider",11,0.2
"Doc Scratch, Cronus Ampora, Bro Strider",11,0.2
"Cronus Ampora, Rufioh Nitram, Horuss Zahhak",11,0.2
"Cronus Ampora, Eridan Ampora, Horuss Zahhak",10,0.1
"Gamzee Makara, Bro Strider, Caliborn",10,0.1
"Gamzee Makara, Vriska Serket, Eridan Ampora",10,0.1
"Eridan Ampora, Bro Strider, Caliborn",9,0.1
"Davepeta, Jasprose, ARquius",9,0.1
"Vriska Serket, Jane Crocker, Cronus Ampora",9,0.1
"Vriska Serket, Bro Strider, Doc Scratch",9,0.1
"Eridan Ampora, Bro Strider, Cronus Ampora",9,0.1
"Bro Strider, Doc Scratch, Cronus Ampora",9,0.1
"Equius Zahhak, Kankri Vantas, Cronus Ampora",9,0.1
"Vriska Serket, Eridan Ampora, Equius Zahhak",8,0.1
"Eridan Ampora, Cronus Ampora, Kankri Vantas",8,0.1
"Bro Strider, Cronus Ampora, Doc Scratch",8,0.1
"Vriska Serket, Aranea Serket, Meenah Peixes",8,0.1
"Vriska Serket, Cronus Ampora, Eridan Ampora",8,0.1
"Cronus Ampora, Horuss Zahhak, Rufioh Nitram",8,0.1
"Eridan Ampora, Cronus Ampora, Gamzee Makara",8,0.1
"Eridan Ampora, Cronus Ampora, Damara Megido",8,0.1
"Equius Zahhak, Eridan Ampora, Cronus Ampora",8,0.1
"Cronus Ampora, Horuss Zahhak, Eridan Ampora",8,0.1
"Gamzee Makara, Equius Zahhak, Caliborn",8,0.1
"Cronus Ampora, Kankri Vantas, Horuss Zahhak",8,0.1
"Vriska Serket, Bro Strider, Lord English",8,0.1
"Eridan Ampora, Horuss Zahhak, Cronus Ampora",8,0.1
"Vriska Serket, Doc Scratch, Cronus Ampora",8,0.1
"Cronus Ampora, Horuss Zahhak, Mituna Captor",8,0.1
"Vriska Serket, Cronus Ampora, Meenah Peixes",8,0.1
"Lord English, Caliborn, Cronus Ampora",7,0.1
"Vriska Serket, Cronus Ampora, Kankri Vantas",7,0.1
"Vriska Serket, Lord English, Doc Scratch",7,0.1
"Eridan Ampora, Equius Zahhak, Gamzee Makara",7,0.1
"Gamzee Makara, Tavros Nitram, Jake English",7,0.1
"Gamzee Makara, Cronus Ampora, Eridan Ampora",7,0.1
"Gamzee Makara, Equius Zahhak, Bro Strider",7,0.1
"Cronus Ampora, Doc Scratch, Lord English",7,0.1
"Vriska Serket, Eridan Ampora, Jane Crocker",7,0.1
"Eridan Ampora, Equius Zahhak, Caliborn",7,0.1
"Bro Strider, Cronus Ampora, Eridan Ampora",7,0.1
"Bro Strider, Cronus Ampora, Horuss Zahhak",7,0.1
"Eridan Ampora, Equius Zahhak, Jane Crocker",6,0.1
"Vriska Serket, Jane Crocker, Eridan Ampora",6,0.1
"Gamzee Makara, Cronus Ampora, Horuss Zahhak",6,0.1
"Vriska Serket, Bro Strider, Cronus Ampora",6,0.1
"Eridan Ampora, Cronus Ampora, Doc Scratch",6,0.1
"Eridan Ampora, Caliborn, Cronus Ampora",6,0.1
"Cronus Ampora, Horuss Zahhak, Kankri Vantas",6,0.1
"Gamzee Makara, Tavros Nitram, Cronus Ampora",6,0.1
"Gamzee Makara, Eridan Ampora, Bro Strider",6,0.1
"Cronus Ampora, Doc Scratch, Eridan Ampora",6,0.1
"Eridan Ampora, Cronus Ampora, Caliborn",6,0.1
"Horuss Zahhak, Rufioh Nitram, Cronus Ampora",6,0.1
"Vriska Serket, Gamzee Makara, Eridan Ampora",6,0.1
"Vriska Serket, Caliborn, Meenah Peixes",6,0.1
"Eridan Ampora, Jake English, Cronus Ampora",6,0.1
"Gamzee Makara, Equius Zahhak, Cronus Ampora",6,0.1
"Gamzee Makara, Cronus Ampora, Doc Scratch",6,0.1
"Damara Megido, Cronus Ampora, Mituna Captor",6,0.1
"Vriska Serket, Bro Strider, Caliborn",6,0.1
"Gamzee Makara, Bro Strider, Doc Scratch",6,0.1
"Cronus Ampora, Eridan Ampora, Kankri Vantas",6,0.1
"Cronus Ampora, Damara Megido, Kankri Vantas",6,0.1
"Cronus Ampora, Bro Strider, Doc Scratch",6,0.1
"Vriska Serket, Equius Zahhak, Bro Strider",6,0.1
"Eridan Ampora, Jane Crocker, Cronus Ampora",5,0.1
"Gamzee Makara, Caliborn, Kankri Vantas",5,0.1
"Vriska Serket, Eridan Ampora, Gamzee Makara",5,0.1
"Kankri Vantas, Cronus Ampora, Horuss Zahhak",5,0.1
"Equius Zahhak, Eridan Ampora, Gamzee Makara",5,0.1
"Eridan Ampora, Lil Hal, Caliborn",5,0.1
"Cronus Ampora, Caliborn, Doc Scratch",5,0.1
"Gamzee Makara, Bro Strider, ARquius",5,0.1
"Cronus Ampora, Kankri Vantas, Eridan Ampora",5,0.1
"Gamzee Makara, Vriska Serket, Cronus Ampora",5,0.1
"Gamzee Makara, Eridan Ampora, Caliborn",5,0.1
"Gamzee Makara, Eridan Ampora, Dirk Strider",5,0.1
"Gamzee Makara, Jane Crocker, Cronus Ampora",5,0.1
