value,count,percentage
,4860,66.4
Generic retail,587,8.0
"STEM (Science, Technology, Engineering, Mathematics)",412,5.6
"Arts (Fine Arts, Animation, Design...)",273,3.7
"Skilled Trades (Technical trades, culinary arts, construction...)",179,2.4
"Public Service (Civil Service, government, non-profits...)",178,2.4
Education,140,1.9
"Health (Medicine, Nursing...)",136,1.9
"Business & Finance (Business Administration, Marketing, Economics)",134,1.8
"Humanities (Literature, History, Philosophy...)",34,0.5
Law,30,0.4
"Social Sciences (Psychology, Sociology...)",29,0.4
Other,244,3.3
"Communications (Journalism, PR...)",28,0.4
Hospitality,9,0.1
Warehouse,6,0.1
Food service,6,0.1
Food Service,5,0.1
