value,count,percentage
Act 5 Act 2,1618,22.1
,1558,21.3
Act 5 Act 1 (Hivebent),815,11.1
Act 4,809,11.1
Intermission 1,340,4.6
Act 3,288,3.9
A6A6A6 (Collide),283,3.9
Act 1,281,3.8
A6A5 (Trickster),213,2.9
A6A6I4 (Retcon),166,2.3
Act 2,157,2.1
A6I3 (Meenah),149,2.0
A6A1,133,1.8
Act 7,59,0.8
Intermission 2,54,0.7
A6A6I5 (Lilypad),42,0.6
A6A2,40,0.5
A6A3,35,0.5
A6A6A4,32,0.4
A6A6I3,30,0.4
A6I2,28,0.4
A6A6A5,28,0.4
A6A4,27,0.4
A6I1,26,0.4
A6A6A3,20,0.3
A6A6A1,18,0.2
A6I4,18,0.2
A6I5,18,0.2
A6A6I1,13,0.2
A6A6A2,12,0.2
A6A6I2,8,0.1
