value,count,percentage
,3749,51.2
Vast Error,73,1.0
Crow Strider AU,60,0.8
idk,58,0.8
Sburb.exe,42,0.6
The Crow Strider AU,39,0.5
sburb.exe,38,0.5
sburb.EXE,30,0.4
Karkat Goes to a Convention,27,0.4
Idk,25,0.3
Homeslice,24,0.3
crow strider au,21,0.3
Burning Down the House,21,0.3
John Ruins a Wedding,21,0.3
none,20,0.3
Autopraxis,19,0.3
The Genesis Project,18,0.2
Ligmastuck,17,0.2
Sburb Done Quick,16,0.2
KGTAC,14,0.2
Godfeels,13,0.2
Sburb.EXE,13,0.2
Unsure,12,0.2
Friendsim 2,12,0.2
Vast error,11,0.2
vast error,11,0.2
John Ruins A Wedding,11,0.2
Kittyquest,10,0.1
-,9,0.1
Project [S],9,0.1
ligmastuck,9,0.1
Crow Strider,9,0.1
IDK,9,0.1
Early June,9,0.1
?,9,0.1
Karkat Goes To A Convention,9,0.1
SBURB.exe,9,0.1
Desynced,9,0.1
Burning Down The House,9,0.1
Conjoined Session,8,0.1
SBURB.EXE,8,0.1
the genesis project,8,0.1
Crossmound,8,0.1
not sure,8,0.1
Doritos and Fritos,8,0.1
Karkat goes to a convention,7,0.1
Voidbound,7,0.1
N/a,7,0.1
Home-Skillet,7,0.1
karkat goes to a convention,7,0.1
Doritos & Fritos,6,0.1
Sovereignstuck,6,0.1
godfeels,6,0.1
Genesis Project,6,0.1
Not sure,6,0.1
AUTOPRAXIS,5,0.1
Homestuck Alternate Universe,5,0.1
Burning down the house,5,0.1
dunno,5,0.1
Dakidavekat,5,0.1
crow strider,5,0.1
Alternate Session,5,0.1
Nepetaquest,5,0.1
unsure,5,0.1
Sburb.Exe,5,0.1
Karkat goes to a Convention,5,0.1
Other,2626,35.9
