value,count,percentage
"Dave Strider, Karkat Vantas",802,11.0
"Rose Lalonde, Kanaya Maryam",724,9.9
,622,8.5
"John Egbert, Dave Strider",224,3.1
"John Egbert, Vriska Serket",211,2.9
"Dirk Strider, Jake English",168,2.3
"Karkat Vantas, Dave Strider",168,2.3
"Terezi Pyrope, Vriska Serket",160,2.2
"Vriska Serket, Terezi Pyrope",155,2.1
"John Egbert, Roxy Lalonde",139,1.9
"Aradia Megido, Sollux Captor",134,1.8
"Dave Strider, Jade Harley",122,1.7
"John Egbert, Terezi Pyrope",118,1.6
"Equius Zahhak, Nepeta Leijon",83,1.1
"John Egbert, Dave Strider, Karkat Vantas",83,1.1
"John Egbert, Karkat Vantas",81,1.1
"Karkat Vantas, Terezi Pyrope",75,1.0
"Gamzee Makara, Tavros Nitram",73,1.0
"Kanaya Maryam, Rose Lalonde",71,1.0
"Jade Harley, Nepeta Leijon",69,0.9
"John Egbert, Dirk Strider",66,0.9
"Nepeta Leijon, Equius Zahhak",59,0.8
"Dave Strider, Terezi Pyrope",56,0.8
"Sollux Captor, Aradia Megido",56,0.8
"Dave Strider, John Egbert",54,0.7
"Roxy Lalonde, Calliope",52,0.7
"John Egbert, Rose Lalonde",51,0.7
"Jake English, Dirk Strider",46,0.6
"Eridan Ampora, Sollux Captor",45,0.6
"Vriska Serket, John Egbert",45,0.6
"Calliope, Roxy Lalonde",43,0.6
"Jade Harley, Dave Strider",43,0.6
"Karkat Vantas, Nepeta Leijon",43,0.6
"Nepeta Leijon, Karkat Vantas",43,0.6
"Sollux Captor, Eridan Ampora",37,0.5
"Gamzee Makara, Karkat Vantas",32,0.4
"Tavros Nitram, Gamzee Makara",32,0.4
"Terezi Pyrope, John Egbert",31,0.4
"Latula Pyrope, Mituna Captor",26,0.4
"Roxy Lalonde, John Egbert",26,0.4
"Mituna Captor, Latula Pyrope",26,0.4
"Kankri Vantas, Cronus Ampora",25,0.3
"Dad Egbert, Mom Lalonde",25,0.3
"Terezi Pyrope, Karkat Vantas",24,0.3
"Eridan Ampora, Karkat Vantas",24,0.3
"Sollux Captor, Karkat Vantas",24,0.3
"John Egbert, Terezi Pyrope, Vriska Serket",22,0.3
"Dave Strider, Jade Harley, Karkat Vantas",22,0.3
"Dirk Strider, John Egbert",21,0.3
"Terezi Pyrope, Dave Strider",21,0.3
"Jade Harley, Karkat Vantas",20,0.3
"Jade Harley, Davepeta",20,0.3
"Dave Strider, Dirk Strider",20,0.3
"Karkat Vantas, John Egbert",20,0.3
"Feferi Peixes, Nepeta Leijon",20,0.3
"Davepeta, Jade Harley",20,0.3
"Dirk Strider, Caliborn",19,0.3
"Karkat Vantas, Eridan Ampora",18,0.2
"Nepeta Leijon, Jade Harley",17,0.2
"Caliborn, Dirk Strider",17,0.2
"Vriska Serket, Kanaya Maryam",17,0.2
"WV (sigh... ""The Mayor""), PM",17,0.2
"John Egbert, Jade Harley",16,0.2
"John Egbert, Vriska Serket, Terezi Pyrope",16,0.2
"Rose Lalonde, Dave Strider",16,0.2
"Dave Strider, Tavros Nitram",15,0.2
"Karkat Vantas, Gamzee Makara",15,0.2
"Jade Harley, Dave Strider, Karkat Vantas",14,0.2
"Karkat Vantas, Kanaya Maryam",14,0.2
"Dave Strider, Karkat Vantas, John Egbert",14,0.2
"Dirk Strider, Roxy Lalonde",14,0.2
"Nepeta Leijon, Terezi Pyrope",14,0.2
"Kurloz Makara, Meulin Leijon",13,0.2
"Jade Harley, Rose Lalonde",13,0.2
"Dave Strider, Nepeta Leijon",13,0.2
"Terezi Pyrope, Nepeta Leijon",12,0.2
"Roxy Lalonde, Jane Crocker",12,0.2
"Dirk Strider, Lil Hal",11,0.2
"Equius Zahhak, Gamzee Makara",11,0.2
"Cronus Ampora, Kankri Vantas",11,0.2
"Rose Lalonde, Jade Harley",10,0.1
"Dave Strider, Bro Strider",10,0.1
"Dave Strider, Sollux Captor, Karkat Vantas",10,0.1
"Dave Strider, John Egbert, Karkat Vantas",10,0.1
"Karkat Vantas, Jade Harley",10,0.1
"John Egbert, Karkat Vantas, Dave Strider",10,0.1
"Dave Strider, Sollux Captor",10,0.1
"Aradia Megido, Feferi Peixes",10,0.1
"Jade Harley, John Egbert",9,0.1
"Aradia Megido, Vriska Serket",9,0.1
"Jane Crocker, Roxy Lalonde",9,0.1
"Dave Strider, Rose Lalonde",9,0.1
"Dave Strider, Karkat Vantas, Jade Harley",9,0.1
"Jade Harley, Roxy Lalonde",9,0.1
"SS, DD",9,0.1
"John Egbert, Nepeta Leijon",9,0.1
"Bro Strider, Dave Strider",9,0.1
"Jade Harley, Vriska Serket",9,0.1
"Eridan Ampora, Feferi Peixes",8,0.1
"John Egbert, Jasprose",8,0.1
"Karkat Vantas, John Egbert, Dave Strider",8,0.1
"Karkat Vantas, Dave Strider, Jade Harley",8,0.1
"Mom Lalonde, Dad Egbert",8,0.1
"Nepeta Leijon, Feferi Peixes",8,0.1
"Dave Strider, Karkat Vantas, Sollux Captor",8,0.1
"Terezi Pyrope, Vriska Serket, John Egbert",8,0.1
"Meenah Peixes, Aranea Serket",8,0.1
"Gamzee Makara, Equius Zahhak",8,0.1
"Vriska Serket, Meenah Peixes",7,0.1
"Vriska Serket, Tavros Nitram",7,0.1
"Karkat Vantas, Sollux Captor",7,0.1
"Jade Harley, Aradia Megido",7,0.1
"Dave Strider, Aradia Megido",7,0.1
"John Egbert, Gamzee Makara",7,0.1
"Jade Harley, Karkat Vantas, Dave Strider",7,0.1
"Jade Harley, Rose Lalonde, Kanaya Maryam",6,0.1
"Mituna Captor, Cronus Ampora",6,0.1
"Feferi Peixes, Sollux Captor",6,0.1
"Vriska Serket, Terezi Pyrope, John Egbert",6,0.1
"Dad Egbert, DD",6,0.1
"Feferi Peixes, Aradia Megido",6,0.1
"Lil Hal, Dirk Strider",6,0.1
"Meulin Leijon, Kurloz Makara",6,0.1
"Aranea Serket, Meenah Peixes",6,0.1
"Aradia Megido, Eridan Ampora",6,0.1
"Tavros Nitram, Dave Strider",6,0.1
"Dad Egbert, Bro Strider",6,0.1
"Karkat Vantas, Meenah Peixes",6,0.1
"Sollux Captor, Feferi Peixes",6,0.1
"Dirk Strider, Dave Strider",6,0.1
"Eridan Ampora, Roxy Lalonde",6,0.1
"John Egbert, Bro Strider",5,0.1
"Equius Zahhak, Eridan Ampora",5,0.1
"Equius Zahhak, Aradia Megido",5,0.1
"SS, Snowman",5,0.1
"Davepeta, Jasprose",5,0.1
"Aradia Megido, Dave Strider",5,0.1
"Rose Lalonde, Roxy Lalonde",5,0.1
"Karkat Vantas, Terezi Pyrope, Dave Strider",5,0.1
"Terezi Pyrope, Gamzee Makara",5,0.1
"Vriska Serket, John Egbert, Terezi Pyrope",5,0.1
"Nepeta Leijon, Gamzee Makara",5,0.1
"Jade Harley, Feferi Peixes",5,0.1
"Eridan Ampora, Aradia Megido",5,0.1
"Rose Lalonde, Terezi Pyrope",5,0.1
"Sollux Captor, Nepeta Leijon",5,0.1
"Dave Strider, Jake English",5,0.1
"Nepeta Leijon, Meulin Leijon",5,0.1
"Jade Harley, Becquerel",5,0.1
"Jade Harley, Davesprite",5,0.1
"Mituna Captor, Kurloz Makara",5,0.1
"Bro Strider, Grandpa Harley",5,0.1
"Nepeta Leijon, Roxy Lalonde",5,0.1
"Dave Strider, Karkat Vantas, Terezi Pyrope",5,0.1
"Equius Zahhak, Tavros Nitram",5,0.1
"Rose Lalonde, Jade Harley, Kanaya Maryam",5,0.1
"John Egbert, Davesprite",5,0.1
Other,922,12.6
