value,count,percentage
,1014,13.9
"John Egbert, Dave Strider, Karkat Vantas",79,1.1
"Dave Strider, Karkat Vantas, Terezi Pyrope",52,0.7
"John Egbert, Rose Lalonde, Dave Strider",43,0.6
"John Egbert, Dave Strider, Vriska Serket",37,0.5
"Dave Strider, Karkat Vantas, Vriska Serket",34,0.5
"John Egbert, Karkat Vantas, Dave Strider",30,0.4
"John Egbert, Dave Strider, Jade Harley",30,0.4
"Dave Strider, Karkat Vantas, John Egbert",29,0.4
"John Egbert, Dave Strider, Terezi Pyrope",28,0.4
"Dave Strider, Vriska Serket, Terezi Pyrope",28,0.4
"John Egbert, Terezi Pyrope, Vriska Serket",28,0.4
"John Egbert, Vriska Serket, Karkat Vantas",27,0.4
"John Egbert, Vriska Serket, Terezi Pyrope",27,0.4
"John Egbert, Vriska Serket, Dave Strider",25,0.3
"Dave Strider, John Egbert, Karkat Vantas",25,0.3
"Dave Strider, Karkat Vantas, Roxy Lalonde",25,0.3
"Dave Strider, Terezi Pyrope, Vriska Serket",24,0.3
"Terezi Pyrope, Vriska Serket, Dave Strider",23,0.3
"Vriska Serket, John Egbert, Dave Strider",23,0.3
"Dave Strider, Terezi Pyrope, Karkat Vantas",23,0.3
"John Egbert, Karkat Vantas, Vriska Serket",23,0.3
"John Egbert, Dave Strider, Rose Lalonde",22,0.3
"John Egbert, Jade Harley, Karkat Vantas",22,0.3
"Dave Strider, Vriska Serket, Roxy Lalonde",22,0.3
"Dave Strider, Dirk Strider, Karkat Vantas",22,0.3
"Vriska Serket, Dave Strider, Karkat Vantas",20,0.3
"Karkat Vantas, Dave Strider, John Egbert",20,0.3
"Dave Strider, Karkat Vantas, Aradia Megido",20,0.3
"Dave Strider, Karkat Vantas, Rose Lalonde",19,0.3
"John Egbert, Dave Strider, Roxy Lalonde",19,0.3
"John Egbert, Dave Strider, Dirk Strider",18,0.2
"Dave Strider, Rose Lalonde, Karkat Vantas",18,0.2
"Dave Strider, Vriska Serket, Aradia Megido",18,0.2
"Dave Strider, Terezi Pyrope, Roxy Lalonde",18,0.2
"Dave Strider, Vriska Serket, Karkat Vantas",17,0.2
"Dave Strider, Vriska Serket, Dirk Strider",17,0.2
"Dave Strider, John Egbert, Terezi Pyrope",17,0.2
"Dave Strider, Karkat Vantas, Dirk Strider",17,0.2
"Vriska Serket, Dave Strider, Terezi Pyrope",17,0.2
"Dave Strider, Dirk Strider, Roxy Lalonde",17,0.2
"Dave Strider, John Egbert, Vriska Serket",17,0.2
"Vriska Serket, Karkat Vantas, John Egbert",17,0.2
"Karkat Vantas, John Egbert, Dave Strider",17,0.2
"John Egbert, Karkat Vantas, Dirk Strider",15,0.2
"Dave Strider, Karkat Vantas, Kanaya Maryam",15,0.2
"Dave Strider, John Egbert, Rose Lalonde",15,0.2
"John Egbert, Karkat Vantas, Terezi Pyrope",15,0.2
"John Egbert, Karkat Vantas, Aradia Megido",15,0.2
"Karkat Vantas, Dave Strider, Terezi Pyrope",15,0.2
"Dave Strider, Vriska Serket, John Egbert",15,0.2
"Dave Strider, Aradia Megido, Terezi Pyrope",15,0.2
"Vriska Serket, Terezi Pyrope, Dave Strider",14,0.2
"Dave Strider, John Egbert, Dirk Strider",14,0.2
"Vriska Serket, John Egbert, Terezi Pyrope",14,0.2
"John Egbert, Jade Harley, Dave Strider",14,0.2
"Dave Strider, Terezi Pyrope, Aradia Megido",14,0.2
"Terezi Pyrope, Karkat Vantas, Dave Strider",14,0.2
"John Egbert, Vriska Serket, Roxy Lalonde",14,0.2
"Vriska Serket, Karkat Vantas, Dave Strider",14,0.2
"John Egbert, Dave Strider, Aradia Megido",14,0.2
"Dave Strider, Aradia Megido, Roxy Lalonde",13,0.2
"Dave Strider, Terezi Pyrope, John Egbert",13,0.2
"Karkat Vantas, Dave Strider, Vriska Serket",13,0.2
"Dave Strider, John Egbert, Roxy Lalonde",13,0.2
"Terezi Pyrope, Dave Strider, Roxy Lalonde",13,0.2
"Dave Strider, Aradia Megido, Karkat Vantas",13,0.2
"John Egbert, Karkat Vantas, Jade Harley",13,0.2
"Dave Strider, Terezi Pyrope, Dirk Strider",13,0.2
"Vriska Serket, Rose Lalonde, Dave Strider",12,0.2
"Dave Strider, Dirk Strider, John Egbert",12,0.2
"Dave Strider, John Egbert, Aradia Megido",12,0.2
"Terezi Pyrope, Vriska Serket, Karkat Vantas",12,0.2
"John Egbert, Rose Lalonde, Karkat Vantas",12,0.2
"Vriska Serket, Terezi Pyrope, Karkat Vantas",12,0.2
"Rose Lalonde, Dave Strider, Karkat Vantas",12,0.2
"John Egbert, Terezi Pyrope, Roxy Lalonde",12,0.2
"Dave Strider, Roxy Lalonde, Karkat Vantas",12,0.2
"John Egbert, Dave Strider, Gamzee Makara",11,0.2
"Dave Strider, Roxy Lalonde, Terezi Pyrope",11,0.2
"John Egbert, Terezi Pyrope, Aradia Megido",11,0.2
"John Egbert, Vriska Serket, Calliope",11,0.2
"Terezi Pyrope, Vriska Serket, John Egbert",11,0.2
"Vriska Serket, John Egbert, Karkat Vantas",10,0.1
"Terezi Pyrope, Dave Strider, Karkat Vantas",10,0.1
"John Egbert, Karkat Vantas, Roxy Lalonde",10,0.1
"John Egbert, Terezi Pyrope, Karkat Vantas",10,0.1
"Dave Strider, Dirk Strider, Vriska Serket",10,0.1
"Dave Strider, Vriska Serket, Rose Lalonde",10,0.1
"Terezi Pyrope, Vriska Serket, Aradia Megido",10,0.1
"Terezi Pyrope, Vriska Serket, Roxy Lalonde",10,0.1
"Dave Strider, Karkat Vantas, Jade Harley",9,0.1
"Dave Strider, Aradia Megido, Kanaya Maryam",9,0.1
"Dave Strider, John Egbert, Jade Harley",9,0.1
"Karkat Vantas, Dave Strider, Dirk Strider",9,0.1
"Dave Strider, Kanaya Maryam, Roxy Lalonde",9,0.1
"Vriska Serket, Dave Strider, Rose Lalonde",9,0.1
"Dave Strider, Dirk Strider, Terezi Pyrope",9,0.1
"John Egbert, Aradia Megido, Terezi Pyrope",9,0.1
"John Egbert, Rose Lalonde, Jade Harley",9,0.1
"Vriska Serket, Aradia Megido, John Egbert",9,0.1
"Dave Strider, Rose Lalonde, Terezi Pyrope",9,0.1
"John Egbert, Vriska Serket, Jade Harley",9,0.1
"John Egbert, Roxy Lalonde, Karkat Vantas",9,0.1
"Dave Strider, Karkat Vantas, WV (sigh... ""The Mayor"")",9,0.1
"Dave Strider, Rose Lalonde, Vriska Serket",8,0.1
"Dave Strider, Roxy Lalonde, Aradia Megido",8,0.1
"Karkat Vantas, Terezi Pyrope, Dave Strider",8,0.1
"John Egbert, Rose Lalonde, Vriska Serket",8,0.1
"Dave Strider, Roxy Lalonde, Vriska Serket",8,0.1
"Terezi Pyrope, Karkat Vantas, John Egbert",8,0.1
"Jade Harley, John Egbert, Dave Strider",8,0.1
"Karkat Vantas, Vriska Serket, Dave Strider",8,0.1
"Dave Strider, Vriska Serket, Caliborn",8,0.1
"Dave Strider, Terezi Pyrope, WV (sigh... ""The Mayor"")",8,0.1
"Vriska Serket, Dave Strider, Aradia Megido",8,0.1
"John Egbert, Vriska Serket, Dirk Strider",8,0.1
"Dave Strider, Dirk Strider, Rose Lalonde",8,0.1
"Karkat Vantas, Dave Strider, Roxy Lalonde",8,0.1
"Vriska Serket, Dave Strider, Dirk Strider",8,0.1
"Karkat Vantas, Terezi Pyrope, Vriska Serket",8,0.1
"John Egbert, Vriska Serket, Rose Lalonde",8,0.1
"John Egbert, Roxy Lalonde, Vriska Serket",7,0.1
"John Egbert, Vriska Serket, Aradia Megido",7,0.1
"Terezi Pyrope, Karkat Vantas, Vriska Serket",7,0.1
"Terezi Pyrope, Dave Strider, Aradia Megido",7,0.1
"Vriska Serket, John Egbert, Dirk Strider",7,0.1
"Vriska Serket, Dave Strider, John Egbert",7,0.1
"Vriska Serket, John Egbert, Roxy Lalonde",7,0.1
"Dave Strider, Karkat Vantas, Jack Noir (B1)",7,0.1
"John Egbert, Terezi Pyrope, Dave Strider",7,0.1
"John Egbert, Karkat Vantas, WV (sigh... ""The Mayor"")",7,0.1
"John Egbert, Dave Strider, Caliborn",7,0.1
"Vriska Serket, Rose Lalonde, John Egbert",7,0.1
"John Egbert, Roxy Lalonde, Terezi Pyrope",7,0.1
"Karkat Vantas, Vriska Serket, Roxy Lalonde",7,0.1
"Karkat Vantas, Dave Strider, Aradia Megido",7,0.1
"Vriska Serket, Roxy Lalonde, Dave Strider",7,0.1
"Dave Strider, Rose Lalonde, John Egbert",6,0.1
"Karkat Vantas, Aradia Megido, Kanaya Maryam",6,0.1
"Vriska Serket, Aradia Megido, Terezi Pyrope",6,0.1
"John Egbert, Vriska Serket, Gamzee Makara",6,0.1
"Vriska Serket, Terezi Pyrope, Jade Harley",6,0.1
"Vriska Serket, Aradia Megido, Dave Strider",6,0.1
"John Egbert, Jade Harley, Aradia Megido",6,0.1
"John Egbert, Jade Harley, Vriska Serket",6,0.1
"Vriska Serket, Karkat Vantas, Aradia Megido",6,0.1
"John Egbert, Jade Harley, Dirk Strider",6,0.1
"Dave Strider, Vriska Serket, Jade Harley",6,0.1
"Dave Strider, Terezi Pyrope, Jade Harley",6,0.1
"Dave Strider, Terezi Pyrope, Rose Lalonde",6,0.1
"John Egbert, Aradia Megido, Roxy Lalonde",6,0.1
"John Egbert, Karkat Vantas, Kanaya Maryam",6,0.1
"Vriska Serket, Terezi Pyrope, Dirk Strider",6,0.1
"Vriska Serket, Karkat Vantas, Terezi Pyrope",6,0.1
"Dave Strider, Vriska Serket, WV (sigh... ""The Mayor"")",6,0.1
"Roxy Lalonde, Dave Strider, Vriska Serket",6,0.1
"Dave Strider, Aradia Megido, Dirk Strider",6,0.1
"John Egbert, Dave Strider, Tavros Nitram",6,0.1
"Dave Strider, Kanaya Maryam, Karkat Vantas",6,0.1
"Vriska Serket, Dave Strider, Roxy Lalonde",6,0.1
"Dave Strider, Dirk Strider, Caliborn",6,0.1
"Dave Strider, Jade Harley, Karkat Vantas",6,0.1
"Karkat Vantas, Terezi Pyrope, Roxy Lalonde",6,0.1
"John Egbert, Roxy Lalonde, Aradia Megido",6,0.1
"Dave Strider, Aradia Megido, Davepeta",6,0.1
"Terezi Pyrope, Dave Strider, John Egbert",6,0.1
"Dave Strider, Rose Lalonde, Roxy Lalonde",6,0.1
"Vriska Serket, Terezi Pyrope, John Egbert",6,0.1
"Dave Strider, Terezi Pyrope, PM",6,0.1
"John Egbert, Karkat Vantas, Gamzee Makara",6,0.1
"John Egbert, Roxy Lalonde, Caliborn",6,0.1
"Dave Strider, Karkat Vantas, Caliborn",6,0.1
