value,count,percentage
,1385,18.9
"Eridan Ampora, Equius Zahhak, Nepeta Leijon",26,0.4
"Gamzee Makara, Eridan Ampora, Equius Zahhak",25,0.3
"Gamzee Makara, Equius Zahhak, Nepeta Leijon",24,0.3
"Nepeta Leijon, Equius Zahhak, Eridan Ampora",19,0.3
"Gamzee Makara, Eridan Ampora, Tavros Nitram",18,0.2
"Gamzee Makara, Jane Crocker, Jake English",17,0.2
"Nepeta Leijon, Equius Zahhak, Feferi Peixes",17,0.2
"Gamzee Makara, Feferi Peixes, Eridan Ampora",16,0.2
"Feferi Peixes, Equius Zahhak, Nepeta Leijon",16,0.2
"Feferi Peixes, Eridan Ampora, Equius Zahhak",16,0.2
"Equius Zahhak, Nepeta Leijon, Eridan Ampora",15,0.2
"Gamzee Makara, Equius Zahhak, Eridan Ampora",14,0.2
"Feferi Peixes, Nepeta Leijon, Equius Zahhak",14,0.2
"Gamzee Makara, Jake English, Jane Crocker",13,0.2
"Equius Zahhak, Nepeta Leijon, Tavros Nitram",12,0.2
"Vriska Serket, Gamzee Makara, Eridan Ampora",12,0.2
"Gamzee Makara, Eridan Ampora, Jane Crocker",12,0.2
"Vriska Serket, Gamzee Makara, Jane Crocker",11,0.2
"Gamzee Makara, Jane Crocker, Vriska Serket",11,0.2
"Gamzee Makara, Nepeta Leijon, Equius Zahhak",11,0.2
"Equius Zahhak, Nepeta Leijon, Feferi Peixes",11,0.2
"Eridan Ampora, Nepeta Leijon, Equius Zahhak",11,0.2
"Eridan Ampora, Feferi Peixes, Nepeta Leijon",11,0.2
"Vriska Serket, Gamzee Makara, Equius Zahhak",11,0.2
"Jane Crocker, Jake English, Dirk Strider",10,0.1
"Gamzee Makara, Eridan Ampora, Feferi Peixes",10,0.1
"Jade Harley, Jane Crocker, Jake English",9,0.1
"Nepeta Leijon, Feferi Peixes, Equius Zahhak",9,0.1
"Vriska Serket, Nepeta Leijon, Equius Zahhak",9,0.1
"Eridan Ampora, Equius Zahhak, Jane Crocker",9,0.1
"Feferi Peixes, Eridan Ampora, Nepeta Leijon",9,0.1
"Jane Crocker, Dirk Strider, Jake English",8,0.1
"Dirk Strider, Jake English, Jane Crocker",8,0.1
"Eridan Ampora, Nepeta Leijon, Feferi Peixes",8,0.1
"Vriska Serket, Tavros Nitram, Jake English",8,0.1
"Equius Zahhak, Eridan Ampora, Feferi Peixes",8,0.1
"Vriska Serket, Eridan Ampora, Equius Zahhak",8,0.1
"Gamzee Makara, Equius Zahhak, Jane Crocker",8,0.1
"Gamzee Makara, Eridan Ampora, Nepeta Leijon",8,0.1
"Eridan Ampora, Equius Zahhak, Gamzee Makara",8,0.1
"Gamzee Makara, Feferi Peixes, Equius Zahhak",8,0.1
"Gamzee Makara, Vriska Serket, Eridan Ampora",7,0.1
"Vriska Serket, Eridan Ampora, Nepeta Leijon",7,0.1
"Vriska Serket, Jade Harley, Rose Lalonde",7,0.1
"Equius Zahhak, Nepeta Leijon, Jane Crocker",7,0.1
"Gamzee Makara, Vriska Serket, Tavros Nitram",7,0.1
"Gamzee Makara, Sollux Captor, Feferi Peixes",7,0.1
"Vriska Serket, Eridan Ampora, Feferi Peixes",7,0.1
"Vriska Serket, Feferi Peixes, Nepeta Leijon",7,0.1
"Gamzee Makara, Equius Zahhak, Feferi Peixes",7,0.1
"Vriska Serket, Jake English, Tavros Nitram",7,0.1
"Vriska Serket, Feferi Peixes, Eridan Ampora",7,0.1
"Jake English, Dirk Strider, Jane Crocker",7,0.1
"Vriska Serket, Gamzee Makara, Jake English",7,0.1
"Feferi Peixes, Nepeta Leijon, Eridan Ampora",7,0.1
"Gamzee Makara, Equius Zahhak, Tavros Nitram",7,0.1
"Vriska Serket, Jade Harley, Jane Crocker",7,0.1
"Gamzee Makara, Nepeta Leijon, Tavros Nitram",6,0.1
"Tavros Nitram, Nepeta Leijon, Equius Zahhak",6,0.1
"Gamzee Makara, Vriska Serket, Jane Crocker",6,0.1
"Vriska Serket, Jade Harley, Gamzee Makara",6,0.1
"Sollux Captor, Feferi Peixes, Eridan Ampora",6,0.1
"Gamzee Makara, Equius Zahhak, Jake English",6,0.1
"Nepeta Leijon, Feferi Peixes, Eridan Ampora",6,0.1
"Jane Crocker, Jake English, Gamzee Makara",6,0.1
"Nepeta Leijon, Jane Crocker, Feferi Peixes",6,0.1
"Gamzee Makara, Jade Harley, Vriska Serket",6,0.1
"Dave Strider, Karkat Vantas, Vriska Serket",6,0.1
"Jade Harley, Jane Crocker, Vriska Serket",6,0.1
"Vriska Serket, Jane Crocker, Jake English",6,0.1
"Gamzee Makara, Tavros Nitram, Jane Crocker",6,0.1
"Jane Crocker, Jake English, Tavros Nitram",6,0.1
"Nepeta Leijon, Feferi Peixes, Tavros Nitram",6,0.1
"Jade Harley, Jake English, Jane Crocker",6,0.1
"Vriska Serket, Tavros Nitram, Jane Crocker",6,0.1
"Vriska Serket, Gamzee Makara, Feferi Peixes",6,0.1
"Equius Zahhak, Nepeta Leijon, Gamzee Makara",6,0.1
"John Egbert, Rose Lalonde, Dave Strider",6,0.1
"Equius Zahhak, Eridan Ampora, Nepeta Leijon",6,0.1
"Gamzee Makara, Feferi Peixes, Nepeta Leijon",6,0.1
"Vriska Serket, Jane Crocker, Aranea Serket",6,0.1
