Var1,Var2,Pearson_r,n,p_value
rates_hiveswap_act_1,rates_hiveswap_act_2,0.6786903960148889,2533,<0.00001
rates_friendsim,rates_pesterquest,0.6380347918221065,2432,<0.00001
age_log,days_since_fandom_join_log,0.6152395188432311,5681,<0.00001
rates_epilogues,rates_beyond_canon,0.5585732561379273,3385,<0.00001
rates_hiveswap_act_2,rates_friendsim,0.5171810098125356,2003,<0.00001
rates_hiveswap_act_1,rates_friendsim,0.4837011684514846,2585,<0.00001
rates_homestuck,rates_homestuck_ending,0.46273863595605597,6198,<0.00001
rates_hiveswap_act_2,rates_pesterquest,0.45567637630132474,1961,<0.00001
makes_fanmusic_scale,makes_fanvideos_scale,0.40608278752825405,6235,<0.00001
days_since_fandom_join_log,days_since_last_read_log,0.3795747012274352,5676,<0.00001
rates_hiveswap_act_1,rates_pesterquest,0.37187690878574264,2505,<0.00001
rates_paradox_space,rates_hiveswap_act_1,0.3625609561467881,2500,<0.00001
rates_homestuck_ending,rates_epilogues,0.36018150020034023,4410,<0.00001
hardcore_fan_score,rates_homestuck,0.34458242093603053,6569,<0.00001
makes_fanart_scale,makes_cosplay_scale,0.3393589900756693,6318,<0.00001
rates_homestuck_ending,rates_beyond_canon,0.33116949896102754,3834,<0.00001
rates_homestuck,rates_epilogues,0.3243223461243262,4401,<0.00001
rates_beyond_canon,rates_pesterquest,0.32175224813691095,2402,<0.00001
rates_homestuck,rates_psycholonials,0.31342416032503306,1561,<0.00001
rates_homestuck,rates_beyond_canon,0.3085936210130991,3843,<0.00001
makes_fanart_scale,makes_fanfiction_scale,0.3061318847481845,6335,<0.00001
rates_homestuck_ending,rates_pesterquest,0.3046163187914915,3212,<0.00001
rates_hiveswap_act_2,rates_psycholonials,0.30450678446322516,880,<0.00001
age_log,days_since_last_read_log,0.3035881859159061,5761,<0.00001
rates_paradox_space,rates_hiveswap_act_2,0.29980382551900103,1670,<0.00001
makes_fanvideos_scale,makes_fanfiction_scale,0.29495823447423086,6220,<0.00001
rates_homestuck_ending,rates_hiveswap_act_2,0.28077368465569563,2515,<0.00001
rates_homestuck_ending,rates_hiveswap_act_1,0.2802014021813308,3719,<0.00001
rates_homestuck,rates_pesterquest,0.27870418833591715,3295,<0.00001
rates_paradox_space,rates_friendsim,0.2775194388148842,1972,<0.00001
rates_homestuck_ending,rates_psycholonials,0.27522708878022745,1531,<0.00001
makes_fanvideos_scale,makes_cosplay_scale,0.27425271688049424,6184,<0.00001
makes_fanart_scale,makes_fanvideos_scale,0.26854398579277877,6337,<0.00001
rates_homestuck_ending,rates_friendsim,0.268182852501578,2893,<0.00001
rates_beyond_canon,rates_friendsim,0.2674392744778548,2129,<0.00001
rates_beyond_canon,rates_psycholonials,0.26700900598540583,1204,<0.00001
rates_epilogues,rates_psycholonials,0.2639214678991769,1249,<0.00001
makes_fanvideos_scale,makes_software_scale,0.26312052213237436,6136,<0.00001
hardcore_fan_score,makes_fanfiction_scale,0.26000739166182363,6215,<0.00001
makes_fanfiction_scale,makes_cosplay_scale,0.25383180535224886,6183,<0.00001
rates_homestuck,rates_hiveswap_act_1,0.2529608436271104,3791,<0.00001
